 ***** DATA CARD NO.  5   RP   0   181 1  1003 0 0  1.0  0.0                                                 - - - RADIATION PATTERNS - - -

  - - ANGLES - -           - POWER GAINS -       - - - POLARIZATION - - -    - - - E(THETA) - - -    - - - E(PHI) - - -
  THETA     PHI        VERT.   HOR.    TOTAL      AXIAL     TILT   SENSE     MAGNITUDE    PHASE      MAGNITUDE    PHASE 
 DEGREES  DEGREES       DB      DB      DB        RATIO     DEG.              VOLTS/M    DEGREES      VOLTS/M    DEGREES
  103.00     0.00     -82.21 -999.00  -82.21    0.00000     0.00 LHCP       7.75546e-05    90.01    0.00000e+00     0.00
  104.00     0.00     -82.24 -999.00  -82.24    0.00000     0.00 LHCP       7.72737e-05    90.05    0.00000e+00     0.00
  105.00     0.00     -82.27 -999.00  -82.27    0.00000     0.00 LHCP       7.69705e-05    90.07    0.00000e+00     0.00
  106.00     0.00     -82.31 -999.00  -82.31    0.00000     0.00 LHCP       7.66446e-05    90.09    0.00000e+00     0.00
  107.00     0.00     -82.35 -999.00  -82.35    0.00000     0.00 LHCP       7.62959e-05    90.11    0.00000e+00     0.00
  108.00     0.00     -82.39 -999.00  -82.39    0.00000     0.00 LHCP       7.59241e-05    90.12    0.00000e+00     0.00
  109.00     0.00     -82.44 -999.00  -82.44    0.00000     0.00 LHCP       7.55291e-05    90.13    0.00000e+00     0.00
  110.00     0.00     -82.49 -999.00  -82.49    0.00000     0.00 LHCP       7.51106e-05    90.13    0.00000e+00     0.00
  111.00     0.00     -82.54 -999.00  -82.54    0.00000     0.00 LHCP       7.46684e-05    90.13    0.00000e+00     0.00
  112.00     0.00     -82.59 -999.00  -82.59    0.00000     0.00 LHCP       7.42025e-05    90.13    0.00000e+00     0.00
  113.00     0.00     -82.65 -999.00  -82.65    0.00000     0.00 LHCP       7.37125e-05    90.12    0.00000e+00     0.00
  114.00     0.00     -82.71 -999.00  -82.71    0.00000     0.00 LHCP       7.31985e-05    90.11    0.00000e+00     0.00
  115.00     0.00     -82.77 -999.00  -82.77    0.00000     0.00 LHCP       7.26603e-05    90.10    0.00000e+00     0.00
